Entity,Code,Year,Share of global cumulative CO₂ emissions from cement
China,CHN,1928,0.015415923
China,CHN,1929,0.039430633
China,CHN,1930,0.057412647
China,CHN,1931,0.07960409
China,CHN,1932,0.09512276
China,CHN,1933,0.117212646
China,CHN,1934,0.13192676
China,CHN,1935,0.15611434
China,CHN,1936,0.22837879
China,CHN,1937,0.29100862
China,CHN,1938,0.27352187
China,CHN,1939,0.29368758
China,CHN,1940,0.32115078
China,CHN,1941,0.37219375
China,CHN,1942,0.44164902
China,CHN,1943,0.5046059
China,CHN,1944,0.55183196
China,CHN,1945,0.5385658
China,CHN,1946,0.52570456
China,CHN,1947,0.51986784
China,CHN,1948,0.5002866
China,CHN,1949,0.49865887
China,CHN,1950,0.522246
China,CHN,1951,0.5779804
China,CHN,1952,0.6378176
China,CHN,1953,0.7169024
China,CHN,1954,0.8028787
China,CHN,1955,0.8691625
China,CHN,1956,0.96954715
China,CHN,1957,1.064145
China,CHN,1958,1.1957198
China,CHN,1959,1.3610736
China,CHN,1960,1.560179
China,CHN,1961,1.5611929
China,CHN,1962,1.5511023
China,CHN,1963,1.5683733
China,CHN,1964,1.6298113
China,CHN,1965,1.7339172
China,CHN,1966,1.8626114
China,CHN,1967,1.907319
China,CHN,1968,1.917237
China,CHN,1969,1.9757619
China,CHN,1970,2.0891113
China,CHN,1971,2.2323437
China,CHN,1972,2.3810961
China,CHN,1973,2.516703
China,CHN,1974,2.6337852
China,CHN,1975,2.7995124
China,CHN,1976,2.942353
China,CHN,1977,3.1158187
China,CHN,1978,3.3134012
China,CHN,1979,3.5331216
China,CHN,1980,3.7588367
China,CHN,1981,3.9764335
China,CHN,1982,4.2304087
China,CHN,1983,4.513606
China,CHN,1984,4.8290453
China,CHN,1985,5.205769
China,CHN,1986,5.618562
China,CHN,1987,6.0608797
China,CHN,1988,6.5357585
China,CHN,1989,6.965175
China,CHN,1990,7.356836
China,CHN,1991,7.8388376
China,CHN,1992,8.42578
China,CHN,1993,9.095943
China,CHN,1994,9.836141
China,CHN,1995,10.626796
China,CHN,1996,11.3969345
China,CHN,1997,12.149021
China,CHN,1998,12.893704
China,CHN,1999,13.652908
China,CHN,2000,14.417508
China,CHN,2001,15.23411
China,CHN,2002,16.025173
China,CHN,2003,17.027216
China,CHN,2004,17.985106
China,CHN,2005,19.026001
China,CHN,2006,20.126015
China,CHN,2007,21.243368
China,CHN,2008,22.296045
China,CHN,2009,23.440035
China,CHN,2010,24.613167
China,CHN,2011,25.834618
China,CHN,2012,26.942446
China,CHN,2013,28.00294
China,CHN,2014,28.99379
China,CHN,2015,29.802738
China,CHN,2016,30.578485
China,CHN,2017,31.307873
China,CHN,2018,31.975752
China,CHN,2019,32.667686
China,CHN,2020,33.35416
China,CHN,2021,33.90072
China,CHN,2022,34.293972
China,CHN,2023,34.61222
China,CHN,2024,34.829506
India,IND,1928,0.11192064
India,IND,1929,0.19712807
India,IND,1930,0.26444298
India,IND,1931,0.32487014
India,IND,1932,0.38278538
India,IND,1933,0.43830237
India,IND,1934,0.49877107
India,IND,1935,0.5612517
India,IND,1936,0.61652434
India,IND,1937,0.6764891
India,IND,1938,0.6322126
India,IND,1939,0.59609616
India,IND,1940,0.5675201
India,IND,1941,0.6874619
India,IND,1942,0.805316
India,IND,1943,0.91091937
India,IND,1944,1.0180457
India,IND,1945,1.1252036
India,IND,1946,1.1950749
India,IND,1947,1.2212306
India,IND,1948,1.2397655
India,IND,1949,1.2761467
India,IND,1950,1.3227376
India,IND,1951,1.3797729
India,IND,1952,1.4382888
India,IND,1953,1.4890516
India,IND,1954,1.5479172
India,IND,1955,1.5913763
India,IND,1956,1.6340702
India,IND,1957,1.685234
India,IND,1958,1.7364053
India,IND,1959,1.7862082
India,IND,1960,1.8404405
India,IND,1961,1.8906072
India,IND,1962,1.9318717
India,IND,1963,1.9751531
India,IND,1964,2.0049312
India,IND,1965,2.0385857
India,IND,1966,2.0628579
India,IND,1967,2.0869722
India,IND,1968,2.1010365
India,IND,1969,2.1192088
India,IND,1970,2.1279278
India,IND,1971,2.140667
India,IND,1972,2.1502807
India,IND,1973,2.1429842
India,IND,1974,2.1290686
India,IND,1975,2.1299255
India,IND,1976,2.1407418
India,IND,1977,2.1457903
India,IND,1978,2.1441672
India,IND,1979,2.1322823
India,IND,1980,2.118361
India,IND,1981,2.1217241
India,IND,1982,2.1342282
India,IND,1983,2.1572912
India,IND,1984,2.1936138
India,IND,1985,2.2437024
India,IND,1986,2.3015928
India,IND,1987,2.3549578
India,IND,1988,2.4149606
India,IND,1989,2.4894516
India,IND,1990,2.5704675
India,IND,1991,2.6594677
India,IND,1992,2.7423213
India,IND,1993,2.8245094
India,IND,1994,2.9063811
India,IND,1995,2.9922106
India,IND,1996,3.0874906
India,IND,1997,3.1907995
India,IND,1998,3.2959735
India,IND,1999,3.4185765
India,IND,2000,3.5337071
India,IND,2001,3.638189
India,IND,2002,3.7414048
India,IND,2003,3.8310144
India,IND,2004,3.9280233
India,IND,2005,4.023071
India,IND,2006,4.1183915
India,IND,2007,4.206143
India,IND,2008,4.3032775
India,IND,2009,4.416341
India,IND,2010,4.5239315
India,IND,2011,4.6257973
India,IND,2012,4.742493
India,IND,2013,4.863035
India,IND,2014,4.9893694
India,IND,2015,5.117277
