Entity,Code,Year,Share of global cumulative CO₂ emissions from coal
China,CHN,1907,0.03322517
China,CHN,1908,0.06819535
China,CHN,1909,0.102496915
China,CHN,1910,0.13488777
China,CHN,1911,0.1640382
China,CHN,1912,0.1802507
China,CHN,1913,0.20389481
China,CHN,1914,0.22960278
China,CHN,1915,0.25211075
China,CHN,1916,0.27783236
China,CHN,1917,0.30342552
China,CHN,1918,0.33032832
China,CHN,1919,0.36067215
China,CHN,1920,0.390021
China,CHN,1921,0.41796649
China,CHN,1922,0.44520503
China,CHN,1923,0.47547832
China,CHN,1924,0.5061045
China,CHN,1925,0.5324966
China,CHN,1926,0.5558238
China,CHN,1927,0.5783869
China,CHN,1928,0.60140884
China,CHN,1929,0.62268186
China,CHN,1930,0.64519846
China,CHN,1931,0.67027056
China,CHN,1932,0.69467413
China,CHN,1933,0.7203001
China,CHN,1934,0.7495547
China,CHN,1935,0.78398323
China,CHN,1936,0.8170875
China,CHN,1937,0.84469044
China,CHN,1938,0.86626977
China,CHN,1939,0.89374775
China,CHN,1940,0.92773634
China,CHN,1941,0.97339904
China,CHN,1942,1.0245067
China,CHN,1943,1.0633448
China,CHN,1944,1.0977045
China,CHN,1945,1.110164
China,CHN,1946,1.1100986
China,CHN,1947,1.1107842
China,CHN,1948,1.1089685
China,CHN,1949,1.1203648
China,CHN,1950,1.1376226
China,CHN,1951,1.1642009
China,CHN,1952,1.2023284
China,CHN,1953,1.2410914
China,CHN,1954,1.2902716
China,CHN,1955,1.3482226
China,CHN,1956,1.41228
China,CHN,1957,1.490235
China,CHN,1958,1.6782656
China,CHN,1959,1.9360988
China,CHN,1960,2.203373
China,CHN,1961,2.3704057
China,CHN,1962,2.4872725
China,CHN,1963,2.595605
China,CHN,1964,2.6969109
China,CHN,1965,2.805204
China,CHN,1966,2.9221053
China,CHN,1967,3.0045667
China,CHN,1968,3.093597
China,CHN,1969,3.2077212
China,CHN,1970,3.3713238
China,CHN,1971,3.5521603
China,CHN,1972,3.7375665
China,CHN,1973,3.9182565
China,CHN,1974,4.0899353
China,CHN,1975,4.293545
China,CHN,1976,4.4880466
China,CHN,1977,4.6994734
China,CHN,1978,4.935688
China,CHN,1979,5.167456
China,CHN,1980,5.380667
China,CHN,1981,5.5869956
China,CHN,1982,5.8170133
China,CHN,1983,6.0544834
China,CHN,1984,6.3121142
China,CHN,1985,6.583544
China,CHN,1986,6.860174
China,CHN,1987,7.1481104
China,CHN,1988,7.448361
China,CHN,1989,7.7428193
