Entity,Code,Year,Per capita greenhouse gas emissions including land use
United States,USA,1850,32.798916
United States,USA,1851,34.241146
United States,USA,1852,34.26772
United States,USA,1853,34.947575
United States,USA,1854,34.9703
United States,USA,1855,34.676495
United States,USA,1856,34.307877
United States,USA,1857,34.11967
United States,USA,1858,34.0876
United States,USA,1859,34.32973
United States,USA,1860,31.213549
United States,USA,1861,28.264801
United States,USA,1862,27.535475
United States,USA,1863,27.201422
United States,USA,1864,26.097929
United States,USA,1865,24.823599
United States,USA,1866,23.964441
United States,USA,1867,23.971207
United States,USA,1868,23.3862
United States,USA,1869,22.65924
United States,USA,1870,28.292068
United States,USA,1871,30.44998
United States,USA,1872,31.89528
United States,USA,1873,33.18537
United States,USA,1874,33.631947
United States,USA,1875,33.837822
United States,USA,1876,33.914875
United States,USA,1877,34.58289
United States,USA,1878,34.786087
United States,USA,1879,35.77162
United States,USA,1880,33.50027
United States,USA,1881,31.60585
United States,USA,1882,31.681278
United States,USA,1883,31.791162
United States,USA,1884,31.1782
United States,USA,1885,30.286781
United States,USA,1886,29.946634
United States,USA,1887,30.100004
United States,USA,1888,30.48511
United States,USA,1889,28.796831
United States,USA,1890,30.673584
United States,USA,1891,30.965197
United States,USA,1892,30.70397
United States,USA,1893,30.703024
United States,USA,1894,29.720901
United States,USA,1895,30.058023
United States,USA,1896,29.700842
United States,USA,1897,29.680338
United States,USA,1898,30.13249
United States,USA,1899,31.078102
United States,USA,1900,30.314508
United States,USA,1901,30.106737
United States,USA,1902,30.16674
United States,USA,1903,31.152403
United States,USA,1904,30.65171
United States,USA,1905,31.37419
United States,USA,1906,31.318102
United States,USA,1907,32.967022
United States,USA,1908,30.47463
United States,USA,1909,31.42852
United States,USA,1910,31.721878
United States,USA,1911,30.902897
United States,USA,1912,30.784872
United States,USA,1913,31.514648
United States,USA,1914,29.671907
United States,USA,1915,29.524057
United States,USA,1916,30.538136
United States,USA,1917,31.733107
United States,USA,1918,32.216915
United States,USA,1919,28.582647
United States,USA,1920,31.019321
United States,USA,1921,27.486996
United States,USA,1922,27.079119
United States,USA,1923,31.214876
United States,USA,1924,28.605846
United States,USA,1925,28.778114
United States,USA,1926,29.583029
United States,USA,1927,28.491022
United States,USA,1928,27.658394
United States,USA,1929,28.35919
United States,USA,1930,25.400675
United States,USA,1931,22.56183
United States,USA,1932,19.838322
United States,USA,1933,20.25661
United States,USA,1934,20.820564
United States,USA,1935,20.82434
United States,USA,1936,22.527222
United States,USA,1937,22.791555
United States,USA,1938,20.07536
United States,USA,1939,21.06598
United States,USA,1940,22.964424
United States,USA,1941,24.330248
United States,USA,1942,25.433262
United States,USA,1943,25.788332
United States,USA,1944,26.942501
United States,USA,1945,26.001081
United States,USA,1946,24.958498
United States,USA,1947,26.502798
United States,USA,1948,26.969881
United States,USA,1949,23.341675
United States,USA,1950,24.295288
United States,USA,1951,24.217249
United States,USA,1952,23.210403
United States,USA,1953,23.207832
United States,USA,1954,22.04281
United States,USA,1955,23.229366
United States,USA,1956,23.735601
United States,USA,1957,23.137838
United States,USA,1958,22.181759
United States,USA,1959,22.107283
United States,USA,1960,22.18367
United States,USA,1961,21.368683
United States,USA,1962,22.33553
United States,USA,1963,22.407385
United States,USA,1964,22.844471
United States,USA,1965,23.209816
United States,USA,1966,23.860813
United States,USA,1967,26.151546
United States,USA,1968,27.988667
United States,USA,1969,27.434515
United States,USA,1970,28.015821
United States,USA,1971,27.609156
United States,USA,1972,28.229948
United States,USA,1973,28.813385
United States,USA,1974,27.707832
United States,USA,1975,26.495686
United States,USA,1976,27.24376
United States,USA,1977,27.918724
United States,USA,1978,28.002644
United States,USA,1979,27.83081
United States,USA,1980,26.843925
United States,USA,1981,25.708345
United States,USA,1982,24.38268
United States,USA,1983,24.159084
United States,USA,1984,24.589909
United States,USA,1985,24.392218
United States,USA,1986,23.926552
United States,USA,1987,24.563131
United States,USA,1988,25.230492
United States,USA,1989,25.261225
United States,USA,1990,25.611563
United States,USA,1991,24.928564
United States,USA,1992,24.899351
United States,USA,1993,24.950386
United States,USA,1994,25.186314
United States,USA,1995,24.765093
United States,USA,1996,25.129805
United States,USA,1997,25.178114
United States,USA,1998,25.086191
United States,USA,1999,25.162346
United States,USA,2000,25.639954
United States,USA,2001,24.540426
United States,USA,2002,24.588982
United States,USA,2003,24.992226
United States,USA,2004,24.98296
United States,USA,2005,25.121346
United States,USA,2006,23.649693
United States,USA,2007,23.792126
United States,USA,2008,23.196795
United States,USA,2009,21.35525
United States,USA,2010,21.93616
United States,USA,2011,20.768974
United States,USA,2012,20.14632
United States,USA,2013,20.270061
United States,USA,2014,20.459463
United States,USA,2015,19.649694
United States,USA,2016,19.164675
United States,USA,2017,19.022083
United States,USA,2018,19.300438
United States,USA,2019,18.83059
United States,USA,2020,16.964767
United States,USA,2021,18.024174
United States,USA,2022,18.157791
United States,USA,2023,17.696815
United States,USA,2024,17.527048
