Entity,Code,Year,Coal,Oil,Gas,Flaring,Cement,Other industry
Australia,AUS,2024,5.336283,5.4575567,2.8208053,0.6086483,0.10230648,0.15159869
Belgium,BEL,2024,0.97899276,3.5744545,2.3916588,0.006314295,0.18576023,0.142651
China,CHN,2024,6.260753,1.2015501,0.62664205,0.0028274944,0.43524456,0.13137195
Germany,DEU,2024,1.9235375,2.7551928,1.8648683,0.019522382,0.12161208,0.08409042
India,IND,2024,1.4528781,0.51506954,0.10293506,0.0019232691,0.12817222,
Japan,JPN,2024,3.0784895,2.8572433,1.5781323,0.0027123697,0.16407226,0.09182422
Qatar,QAT,2024,0.001395801,6.3522134,33.709267,0.57234496,0.63595676,
Singapore,SGP,2024,0.19589132,5.4560375,3.592907,0,0,
South Africa,ZAF,2024,5.8018193,0.8606438,0.121011205,0.00007753817,0.08802774,
Trinidad and Tobago,TTO,2024,,2.8737009,19.77263,0.118340366,0.16726933,
United Arab Emirates,ARE,2024,0.3914732,5.9452167,13.099778,0.13787915,0.5567285,
United Kingdom,GBR,2024,0.24513236,2.308421,1.831405,0.049471546,0.052418586,0.038950864
United States,USA,2024,2.1216848,6.3375583,5.0608087,0.17754327,0.10789748,0.39179352
World,OWID_WRL,2024,1.9364502,1.52789,0.9813593,0.05093225,0.18044873,0.051994238
