Entity,Code,Year,Share of global cumulative CO₂ emissions from oil
China,CHN,1907,0
China,CHN,1908,0
China,CHN,1909,0
China,CHN,1910,0
China,CHN,1911,0
China,CHN,1912,0
China,CHN,1913,0
China,CHN,1914,0
China,CHN,1915,0
China,CHN,1916,0
China,CHN,1917,0
China,CHN,1918,0
China,CHN,1919,0
China,CHN,1920,0
China,CHN,1921,0
China,CHN,1922,0
China,CHN,1923,0
China,CHN,1924,0
China,CHN,1925,0
China,CHN,1926,0.000106026164
China,CHN,1927,0.00024537716
China,CHN,1928,0.00036485906
China,CHN,1929,0.00046565328
China,CHN,1930,0.0020982802
China,CHN,1931,0.0038743787
China,CHN,1932,0.0057474514
China,CHN,1933,0.007861583
China,CHN,1934,0.00985024
China,CHN,1935,0.012803116
China,CHN,1936,0.01595743
China,CHN,1937,0.019247867
China,CHN,1938,0.023835558
China,CHN,1939,0.030088104
China,CHN,1940,0.03931852
China,CHN,1941,0.048929967
China,CHN,1942,0.060323197
China,CHN,1943,0.062372047
China,CHN,1944,0.062120378
China,CHN,1945,0.06159961
China,CHN,1946,0.05952006
China,CHN,1947,0.05706826
China,CHN,1948,0.054838732
China,CHN,1949,0.05352242
China,CHN,1950,0.052764863
China,CHN,1951,0.052867275
China,CHN,1952,0.05406209
China,CHN,1953,0.056642182
China,CHN,1954,0.062789105
China,CHN,1955,0.073324166
China,CHN,1956,0.088887714
China,CHN,1957,0.104446806
China,CHN,1958,0.125338
China,CHN,1959,0.15715228
China,CHN,1960,0.1922209
China,CHN,1961,0.22132498
China,CHN,1962,0.24508794
China,CHN,1963,0.26749393
China,CHN,1964,0.2927376
China,CHN,1965,0.32395428
China,CHN,1966,0.36252505
China,CHN,1967,0.39242923
China,CHN,1968,0.42372778
China,CHN,1969,0.46880433
China,CHN,1970,0.53227067
China,CHN,1971,0.60932815
China,CHN,1972,0.6892573
China,CHN,1973,0.7729378
China,CHN,1974,0.8650894
China,CHN,1975,0.9627352
China,CHN,1976,1.0700423
China,CHN,1977,1.1753384
China,CHN,1978,1.2814571
China,CHN,1979,1.3736469
China,CHN,1980,1.4561701
China,CHN,1981,1.5256512
China,CHN,1982,1.5915985
China,CHN,1983,1.6556517
China,CHN,1984,1.7181964
China,CHN,1985,1.7819357
China,CHN,1986,1.8471693
China,CHN,1987,1.9147576
China,CHN,1988,1.9838908
China,CHN,1989,2.051473
China,CHN,1990,2.1042485
China,CHN,1991,2.15922
China,CHN,1992,2.2247293
China,CHN,1993,2.3004823
China,CHN,1994,2.3699179
China,CHN,1995,2.4487581
China,CHN,1996,2.5339863
China,CHN,1997,2.6274068
China,CHN,1998,2.7149873
China,CHN,1999,2.8063805
China,CHN,2000,2.9058096
China,CHN,2001,3.0020735
China,CHN,2002,3.091691
China,CHN,2003,3.1931906
China,CHN,2004,3.3138814
China,CHN,2005,3.430038
China,CHN,2006,3.5505693
China,CHN,2007,3.6712003
China,CHN,2008,3.7956772
China,CHN,2009,3.918865
China,CHN,2010,4.0566554
China,CHN,2011,4.194014
China,CHN,2012,4.334697
China,CHN,2013,4.4797144
China,CHN,2014,4.621935
China,CHN,2015,4.769886
China,CHN,2016,4.915588
China,CHN,2017,5.0664673
China,CHN,2018,5.2227144
China,CHN,2019,5.3809433
China,CHN,2020,5.539427
China,CHN,2021,5.6863203
China,CHN,2022,5.830173
China,CHN,2023,5.9922304
China,CHN,2024,6.1424026
India,IND,1858,0
India,IND,1859,0
India,IND,1860,0
India,IND,1861,0
India,IND,1862,0
India,IND,1863,0
India,IND,1864,0
India,IND,1865,0
India,IND,1866,0
India,IND,1878,0
India,IND,1879,0.09010464
India,IND,1880,0.18947521
India,IND,1881,0.24779765
India,IND,1882,0.38346133
India,IND,1883,0.44168472
India,IND,1884,0.5704263
India,IND,1885,0.62242866
India,IND,1886,0.72777015
India,IND,1887,0.802431
India,IND,1888,0.89535487
India,IND,1889,1.0285704
