Entity,Code,Year,Oil,Coal,Cement,Gas,Flaring,Other industry
United States,USA,1800,0,252815.98,0,0,,
United States,USA,1801,0,267472,0,0,,
United States,USA,1802,0,289456,0,0,,
United States,USA,1803,0,296784,0,0,,
United States,USA,1804,0,333424,0,0,,
United States,USA,1805,0,340752,0,0,,
United States,USA,1806,0,333424,0,0,,
United States,USA,1807,0,377392,0,0,,
United States,USA,1808,0,392048,0,0,,
United States,USA,1809,0,403040,0,0,,
United States,USA,1810,0,417696,0,0,,
United States,USA,1811,0,447008,0,0,,
United States,USA,1812,0,483648,0,0,,
United States,USA,1813,0,520288,0,0,,
United States,USA,1814,0,560592,0,0,,
United States,USA,1815,0,600896,0,0,,
United States,USA,1816,0,663184,0,0,,
United States,USA,1817,0,718144,0,0,,
United States,USA,1818,0,780432,0,0,,
United States,USA,1819,0,762112,0,0,,
United States,USA,1820,0,791424,0,0,,
United States,USA,1821,0,828064,0,0,,
United States,USA,1822,0,864704,0,0,,
United States,USA,1823,0,901344,0,0,,
United States,USA,1824,0,1014928,0,0,,
United States,USA,1825,0,1135840,0,0,,
United States,USA,1826,0,1315376,0,0,,
United States,USA,1827,0,1447280,0,0,,
United States,USA,1828,0,1593840,0,0,,
United States,USA,1829,0,1795360,0,0,,
United States,USA,1830,0,2088480,0,0,,
United States,USA,1831,0,2264352,0,0,,
United States,USA,1832,0,3022800,0,0,,
United States,USA,1833,0,3528432,0,0,,
United States,USA,1834,0,3381872,0,0,,
United States,USA,1835,0,4316192,0,0,,
United States,USA,1836,0,4730224,0,0,,
United States,USA,1837,0,5305472,0,0,,
United States,USA,1838,0,5030672,0,0,,
United States,USA,1839,0,5517984,0,0,,
United States,USA,1840,0,5873392,0,0,,
United States,USA,1841,0,6214144,0,0,,
United States,USA,1842,0,6917632,0,0,,
United States,USA,1843,0,7764016,0,0,,
United States,USA,1844,0,9306560,0,0,,
United States,USA,1845,0,11204512,0,0,,
United States,USA,1846,0,12710416,0,0,,
United States,USA,1847,0,15070032,0,0,,
United States,USA,1848,0,16784784,0,0,,
United States,USA,1849,0,18221072,0,0,,
United States,USA,1850,0,19792928,0,0,,
United States,USA,1851,0,24633072,0,0,,
United States,USA,1852,0,26791168,0,0,,
United States,USA,1853,0,30162048,0,0,,
United States,USA,1854,0,33159198,0,0,,
United States,USA,1855,0,38160560,0,0,,
United States,USA,1856,0,40036530,0,0,,
United States,USA,1857,0,41055120,0,0,,
